Date,Value
193901,13.44
193902,12.91
193903,11.79
193904,15.46
193905,16.61
193906,21.45
193907,26.05
193908,26.19
193909,23.91
193910,22.19
193911,17.27
193912,14.37
194001,11.92
194002,13.27
194003,14.07
194004,15.19
194005,18.12
194006,20.57
194007,24.35
194008,24.45
194009,24.09
194010,21.41
194011,17.04
194012,11.67
194101,12.51
194102,13.41
194103,14.41
194104,15.51
194105,17.19
194106,22.65
194107,26.12
194108,26.47
194109,22.57
194110,19.87
194111,16.07
194112,12.35
194201,9.89
194202,11.14
194203,14.67
194204,17.07
194205,20.27
194206,23.45
194207,25.42
194208,25.47
194209,24.84
194210,22.12
194211,17.12
194212,15.05
194301,12.02
194302,12.54
194303,13.85
194304,16.77
194305,19.75
194306,22.8
194307,26.3
194308,26.79
194309,26.39
194310,21.81
194311,17.24
194312,14.99
194401,11.21
194402,10.66
194403,11.51
194404,16.21
194405,20.15
194406,23.35
194407,25.82
194408,26.72
194409,25.09
194410,20.67
194411,16.57
194412,13.37
194501,9.71
194502,11.31
194503,12.69
194504,16.47
194505,21.07
194506,24.68
194507,26.8
194508,27.97
194509,24.29
194510,19.47
194511,16.67
194512,13.67
194601,12.21
194602,11.69
194603,13.09
194604,16.69
194605,19.09
194606,23.22
194607,25.52
194608,27.57
194609,25.67
194610,21.75
194611,18.39
194612,12.57
194701,11.47
194702,14.11
194703,16.51
194704,15.91
194705,19.27
194706,23.6
194707,26.6
194708,27.65
194709,25.17
194710,21.05
194711,17.37
194712,13.39
194801,13.19
194802,12.67
194803,12.97
194804,16.09
194805,19.97
194806,22.1
194807,24.5
194808,25.75
194809,23.39
194810,22.35
194811,16.55
194812,13.42
194901,12.19
194902,11.49
194903,11.69
194904,15.77
194905,19.09
194906,23.22
194907,25.5
194908,25.22
194909,24.65
194910,21.05
194911,17.05
194912,15.25
195001,11.87
195002,12.49
195003,13.19
195004,15.34
195005,19.55
195006,24.2
195007,26.5
195008,26.92
195009,24.77
195010,20.85
195011,16.75
195012,13.47
195101,12.06
195102,12.84
195103,14.19
195104,15.67
195105,18.55
195106,23.52
195107,25.62
195108,26.35
